crop_name,agro_zone,crop_group,temp_lo,temp_hi,ph_lo,ph_hi,seasons_text,ph_is_real,temp_is_real,service_zone,kau_zone_source
Adapathiyan,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Rainfed crop planted with onset of monsoon in May-June; irrigated crop can be planted any time,False,False,coastal_zone,General (all zones)
Adapathiyan,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Rainfed crop planted with onset of monsoon in May-June; irrigated crop can be planted any time,False,False,southern_zone,General (all zones)
Adapathiyan,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Rainfed crop planted with onset of monsoon in May-June; irrigated crop can be planted any time,False,False,central_zone,General (all zones)
Adapathiyan,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Rainfed crop planted with onset of monsoon in May-June; irrigated crop can be planted any time,False,False,northern_zone,General (all zones)
Adapathiyan,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Rainfed crop planted with onset of monsoon in May-June; irrigated crop can be planted any time,False,False,high_ranges,General (all zones)
Agathi,General (all zones),Fodder Crops,22.0,32.0,5.0,6.5,General,False,False,coastal_zone,General (all zones)
Agathi,General (all zones),Fodder Crops,22.0,32.0,5.0,6.5,General,False,False,southern_zone,General (all zones)
Agathi,General (all zones),Fodder Crops,22.0,32.0,5.0,6.5,General,False,False,central_zone,General (all zones)
Agathi,General (all zones),Fodder Crops,22.0,32.0,5.0,6.5,General,False,False,northern_zone,General (all zones)
Agathi,General (all zones),Fodder Crops,22.0,32.0,5.0,6.5,General,False,False,high_ranges,General (all zones)
Ailanthus or Matti,General (all zones),Agroforestry,22.0,32.0,5.0,6.5,Onset of rains (June planting; also Oct-Nov planting option),False,False,coastal_zone,General (all zones)
Ailanthus or Matti,General (all zones),Agroforestry,22.0,32.0,5.0,6.5,Onset of rains (June planting; also Oct-Nov planting option),False,False,southern_zone,General (all zones)
Ailanthus or Matti,General (all zones),Agroforestry,22.0,32.0,5.0,6.5,Onset of rains (June planting; also Oct-Nov planting option),False,False,central_zone,General (all zones)
Ailanthus or Matti,General (all zones),Agroforestry,22.0,32.0,5.0,6.5,Onset of rains (June planting; also Oct-Nov planting option),False,False,northern_zone,General (all zones)
Ailanthus or Matti,General (all zones),Agroforestry,22.0,32.0,5.0,6.5,Onset of rains (June planting; also Oct-Nov planting option),False,False,high_ranges,General (all zones)
Amaranth,General (all zones),Vegetables,22.0,32.0,5.0,6.5,Year-round (avoid sowing red-leaved varieties during periods of heavy rain; rainy season planting on raised beds),False,False,coastal_zone,General (all zones)
Amaranth,General (all zones),Vegetables,22.0,32.0,5.0,6.5,Year-round (avoid sowing red-leaved varieties during periods of heavy rain; rainy season planting on raised beds),False,False,southern_zone,General (all zones)
Amaranth,General (all zones),Vegetables,22.0,32.0,5.0,6.5,Year-round (avoid sowing red-leaved varieties during periods of heavy rain; rainy season planting on raised beds),False,False,central_zone,General (all zones)
Amaranth,General (all zones),Vegetables,22.0,32.0,5.0,6.5,Year-round (avoid sowing red-leaved varieties during periods of heavy rain; rainy season planting on raised beds),False,False,northern_zone,General (all zones)
Amaranth,General (all zones),Vegetables,22.0,32.0,5.0,6.5,Year-round (avoid sowing red-leaved varieties during periods of heavy rain; rainy season planting on raised beds),False,False,high_ranges,General (all zones)
Anthurium,High Hills,Ornamental Plants,18.0,28.0,5.6,6.5,,False,True,high_ranges,High Hills
Anthurium,Midland Laterites,Ornamental Plants,18.0,28.0,5.6,6.5,,False,True,northern_zone,Midland Laterites
Anthurium,Midland Laterites,Ornamental Plants,18.0,28.0,5.6,6.5,,False,True,central_zone,Midland Laterites
Anthurium,Midland Laterites,Ornamental Plants,18.0,28.0,5.6,6.5,,False,True,southern_zone,Midland Laterites
Apple,High Hills,Fruits,3.0,11.0,5.9,6.5,Late winter (planting),False,True,high_ranges,High Hills
Arecanut,Coastal Plain,Beverages and Stimulants,24.0,33.0,6.0,6.5,Field planting: May-June in well-drained soils; August-September in clayey soils,False,False,coastal_zone,Coastal Plain
Arecanut,Foothills,Beverages and Stimulants,20.0,30.0,6.0,6.5,Field planting: May-June in well-drained soils; August-September in clayey soils,False,False,northern_zone,Foothills
Arecanut,Foothills,Beverages and Stimulants,20.0,30.0,6.0,6.5,Field planting: May-June in well-drained soils; August-September in clayey soils,False,False,central_zone,Foothills
Arecanut,Foothills,Beverages and Stimulants,20.0,30.0,6.0,6.5,Field planting: May-June in well-drained soils; August-September in clayey soils,False,False,southern_zone,Foothills
Arecanut,High Hills,Beverages and Stimulants,12.0,25.0,6.0,6.5,Field planting: May-June in well-drained soils; August-September in clayey soils,False,False,high_ranges,High Hills
Arecanut,Midland Laterites,Beverages and Stimulants,23.0,32.0,6.0,6.5,Field planting: May-June in well-drained soils; August-September in clayey soils,False,False,northern_zone,Midland Laterites
Arecanut,Midland Laterites,Beverages and Stimulants,23.0,32.0,6.0,6.5,Field planting: May-June in well-drained soils; August-September in clayey soils,False,False,central_zone,Midland Laterites
Arecanut,Midland Laterites,Beverages and Stimulants,23.0,32.0,6.0,6.5,Field planting: May-June in well-drained soils; August-September in clayey soils,False,False,southern_zone,Midland Laterites
Arecanut,Palakkad Plain,Beverages and Stimulants,24.0,36.0,6.0,6.5,Field planting: May-June in well-drained soils; August-September in clayey soils,False,False,central_zone,Palakkad Plain
Arrow root,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,General,False,False,coastal_zone,General (all zones)
Arrow root,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,General,False,False,southern_zone,General (all zones)
Arrow root,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,General,False,False,central_zone,General (all zones)
Arrow root,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,General,False,False,northern_zone,General (all zones)
Arrow root,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,General,False,False,high_ranges,General (all zones)
Ash gourd,General (all zones),Cucurbitaceous Vegetables,22.0,32.0,5.0,6.5,"January-March | September-December | May-June (rainfed crop, sown after receipt of first showers)",False,False,coastal_zone,General (all zones)
Ash gourd,General (all zones),Cucurbitaceous Vegetables,22.0,32.0,5.0,6.5,"January-March | September-December | May-June (rainfed crop, sown after receipt of first showers)",False,False,southern_zone,General (all zones)
Ash gourd,General (all zones),Cucurbitaceous Vegetables,22.0,32.0,5.0,6.5,"January-March | September-December | May-June (rainfed crop, sown after receipt of first showers)",False,False,central_zone,General (all zones)
Ash gourd,General (all zones),Cucurbitaceous Vegetables,22.0,32.0,5.0,6.5,"January-March | September-December | May-June (rainfed crop, sown after receipt of first showers)",False,False,northern_zone,General (all zones)
Ash gourd,General (all zones),Cucurbitaceous Vegetables,22.0,32.0,5.0,6.5,"January-March | September-December | May-June (rainfed crop, sown after receipt of first showers)",False,False,high_ranges,General (all zones)
Asoka,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Planted with onset of monsoon in May-June,False,False,coastal_zone,General (all zones)
Asoka,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Planted with onset of monsoon in May-June,False,False,southern_zone,General (all zones)
Asoka,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Planted with onset of monsoon in May-June,False,False,central_zone,General (all zones)
Asoka,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Planted with onset of monsoon in May-June,False,False,northern_zone,General (all zones)
Asoka,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Planted with onset of monsoon in May-June,False,False,high_ranges,General (all zones)
