zone,month,season,temperature_avg_C,temperature_max_C,temperature_min_C,rainfall_mm,humidity_pct,elevation_m,soil_ph_lo,soil_ph_hi,soil_ph_mid,crop_name,crop_group,kau_zone_source,temp_match,ph_match,season_match,is_suitable
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Adapathiyan,Medicinal and Aromatic Plants,General (all zones),True,True,False,0
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Agathi,Fodder Crops,General (all zones),True,True,False,0
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Ailanthus or Matti,Agroforestry,General (all zones),True,True,False,0
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Amaranth,Vegetables,General (all zones),True,True,False,0
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Arecanut,Beverages and Stimulants,Coastal Plain,True,True,False,0
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Arrow root,Medicinal and Aromatic Plants,General (all zones),True,True,False,0
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Ash gourd,Cucurbitaceous Vegetables,General (all zones),True,True,True,1
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Asoka,Medicinal and Aromatic Plants,General (all zones),True,True,False,0
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Banana,Fruits,Coastal Plain,True,True,True,1
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Betel vine,Beverages and Stimulants,General (all zones),True,True,False,0
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Bitter gourd,Cucurbitaceous Vegetables,General (all zones),True,True,True,1
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Black gram,Pulses,General (all zones),True,True,False,0
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Black pepper,Spices and Condiments,General (all zones),True,True,True,1
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Bottle gourd,Cucurbitaceous Vegetables,General (all zones),True,True,True,1
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Brahmi,Medicinal and Aromatic Plants,General (all zones),True,True,False,0
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Brinjal,Solanaceous Vegetables,General (all zones),True,True,False,0
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Camboge,Spices and Condiments,General (all zones),True,True,False,0
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Cashew,Commercial Crops,Coastal Plain,True,True,False,0
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Cassia,Green Leaf Manure Crops,General (all zones),True,True,False,0
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Casuarina,Agroforestry,Coastal Plain,True,True,False,0
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Chengazhinirkizhangu,Medicinal and Aromatic Plants,General (all zones),True,True,False,0
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Chethikoduveli,Medicinal and Aromatic Plants,General (all zones),True,True,False,0
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Chilli,Solanaceous Vegetables,General (all zones),True,True,False,0
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,China aster,Ornamental Plants,General (all zones),True,True,True,1
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Chittadalotakam,Medicinal and Aromatic Plants,General (all zones),True,True,False,0
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Chittaratha,Medicinal and Aromatic Plants,General (all zones),True,True,False,0
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Cinnamon,Spices and Condiments,General (all zones),True,True,False,0
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Clove,Spices and Condiments,General (all zones),True,True,False,0
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Cocoa,Beverages and Stimulants,General (all zones),True,True,True,1
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Coconut,Oil Seeds,Coastal Plain,True,True,False,0
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Coffee,Beverages and Stimulants,General (all zones),True,True,False,0
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Coleus,Tubers,General (all zones),True,True,False,0
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Colocasia,Tubers,General (all zones),True,True,False,0
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Congosignal grass,Fodder Crops,General (all zones),True,True,False,0
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Cotton,Commercial Crops,General (all zones),True,True,True,1
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Cowpea,Pulses,General (all zones),True,True,True,1
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Crossandra,Ornamental Plants,General (all zones),True,True,True,1
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Cucumber and oriental pickling melon,Cucurbitaceous Vegetables,Coastal Plain,True,True,True,1
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Cucumber and oriental pickling melon,Cucurbitaceous Vegetables,General (all zones),True,True,True,1
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Daincha,Green Manure Crops,General (all zones),True,True,False,0
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Danthappala,Medicinal and Aromatic Plants,General (all zones),True,True,False,0
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Elephant foot yam,Tubers,General (all zones),True,True,True,1
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Eucalyptus,Medicinal and Aromatic Plants,General (all zones),True,True,False,0
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Fodder cowpea,Fodder Crops,General (all zones),True,True,True,1
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Fodder maize,Fodder Crops,General (all zones),True,True,False,0
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Fodder sorghum,Fodder Crops,General (all zones),True,True,False,0
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Gamba grass,Fodder Crops,General (all zones),True,True,False,0
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Gladiolus,Ornamental Plants,General (all zones),True,True,False,0
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Gliricidia,Green Leaf Manure Crops,General (all zones),True,True,False,0
coastal_zone,1,dry_season,27.5,32.2,22.7,7.1,71.3,8.0,5.5,7.5,6.5,Greater yam,Tubers,General (all zones),True,True,True,1
