zone,season,soil_type,soil_ph_mid,temperature_avg_C,rainfall_mm,humidity_pct,crop_name,is_suitable
coastal_zone,dry_season,Coastal sandy / laterite patches,6.25,27.5,7.1,71.3,Adapathiyan,1
coastal_zone,dry_season,Coastal sandy / laterite patches,6.25,27.5,7.1,71.3,Agathi,1
coastal_zone,dry_season,Coastal sandy / laterite patches,6.25,27.5,7.1,71.3,Ailanthus or Matti,1
coastal_zone,dry_season,Coastal sandy / laterite patches,6.25,27.5,7.1,71.3,Amaranth,1
coastal_zone,dry_season,Coastal sandy / laterite patches,6.25,27.5,7.1,71.3,Arecanut,1
coastal_zone,dry_season,Coastal sandy / laterite patches,6.25,27.5,7.1,71.3,Arrow root,1
coastal_zone,dry_season,Coastal sandy / laterite patches,6.25,27.5,7.1,71.3,Ash gourd,1
coastal_zone,dry_season,Coastal sandy / laterite patches,6.25,27.5,7.1,71.3,Asoka,1
coastal_zone,dry_season,Coastal sandy / laterite patches,6.25,27.5,7.1,71.3,Banana,1
coastal_zone,dry_season,Coastal sandy / laterite patches,6.25,27.5,7.1,71.3,Betel vine,1
coastal_zone,dry_season,Coastal sandy / laterite patches,6.25,27.5,7.1,71.3,Bitter gourd,1
coastal_zone,dry_season,Coastal sandy / laterite patches,6.25,27.5,7.1,71.3,Black gram,0
coastal_zone,dry_season,Coastal sandy / laterite patches,6.25,27.5,7.1,71.3,Black pepper,1
coastal_zone,dry_season,Coastal sandy / laterite patches,6.25,27.5,7.1,71.3,Bottle gourd,1
coastal_zone,dry_season,Coastal sandy / laterite patches,6.25,27.5,7.1,71.3,Brahmi,0
coastal_zone,dry_season,Coastal sandy / laterite patches,6.25,27.5,7.1,71.3,Brinjal,1
coastal_zone,dry_season,Coastal sandy / laterite patches,6.25,27.5,7.1,71.3,Camboge,0
coastal_zone,dry_season,Coastal sandy / laterite patches,6.25,27.5,7.1,71.3,Cashew,1
coastal_zone,dry_season,Coastal sandy / laterite patches,6.25,27.5,7.1,71.3,Cassia,1
coastal_zone,dry_season,Coastal sandy / laterite patches,6.25,27.5,7.1,71.3,Casuarina,0
coastal_zone,dry_season,Coastal sandy / laterite patches,6.25,27.5,7.1,71.3,Chengazhinirkizhangu,1
coastal_zone,dry_season,Coastal sandy / laterite patches,6.25,27.5,7.1,71.3,Chethikoduveli,1
coastal_zone,dry_season,Coastal sandy / laterite patches,6.25,27.5,7.1,71.3,Chilli,1
coastal_zone,dry_season,Coastal sandy / laterite patches,6.25,27.5,7.1,71.3,China aster,1
coastal_zone,dry_season,Coastal sandy / laterite patches,6.25,27.5,7.1,71.3,Chittadalotakam,0
coastal_zone,dry_season,Coastal sandy / laterite patches,6.25,27.5,7.1,71.3,Chittaratha,1
coastal_zone,dry_season,Coastal sandy / laterite patches,6.25,27.5,7.1,71.3,Cinnamon,0
coastal_zone,dry_season,Coastal sandy / laterite patches,6.25,27.5,7.1,71.3,Clove,1
coastal_zone,dry_season,Coastal sandy / laterite patches,6.25,27.5,7.1,71.3,Cocoa,1
coastal_zone,dry_season,Coastal sandy / laterite patches,6.25,27.5,7.1,71.3,Coconut,1
